id,name,cost,area,numberOfBedRooms,numberOfToilets,streetNumber,city,district,ward,lanlordAccountId,createAt,updatedAt,type
156327116,🌟🌟Căn Hộ Cao Cắp 1 Phòng Ngủ Tách Bếp FullNt Cửa Sổ Ban Công Thang Máy,8500000,40.0,1.0,1.0,Đường Bùi Hữu Nghĩa,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 2,26065296,2023-12-02,,can_ho
155081152,Cho Thuê Căn Hộ Dịch Vụ Quận 7 Dạng Duplex - Liền Kề Phú Mỹ Hưng,5500000,35.0,1.0,1.0,Huỳnh Tấn Phát,Tp Hồ Chí Minh,Quận 7,Phường Phú Thuận,15269028,2024-03-27,,can_ho
156178045,𝐂𝐀̆𝐍 𝐇𝐎̣̂ 𝐆𝐈𝐀́ 𝐂𝐔̛̣𝐂 𝐑𝐄̉ - 𝐋𝐀𝐕𝐈𝐓𝐀 𝐂𝐇𝐀𝐑𝐌 𝐓𝐇𝐔̉ Đ𝐔̛́𝐂,9000000,67.0,2.0,2.0,Số 1,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),24784390,2022-03-22,,can_ho
156343175,thuê nhà thanh đa,4800000,70.0,2.0,1.0,Đường Bình Quới,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 27,20992292,2023-07-27,,can_ho
156200876,Cho thuê CH Centana 1PN thích hợp ở kết hợp làm VP công ty,9000000,44.0,1.0,1.0,Nguyễn Thị Định,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),4682094,2024-03-21,,can_ho
156343186,chung cư mini 1PN - nội thất cơ bản đến full nội thất - hầm xe rộng,4000000,35.0,1.0,1.0,160 Đường Lã Xuân Oai,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú A (Quận 9 cũ),21783496,2022-04-28,,can_ho
156343182,NGÃ 4 PHÚ NHUẬN 1PN TÁCH BẾP,5500000,30.0,1.0,1.0,Đường Nguyễn Kiệm,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 9,24638936,2024-01-03,,can_ho
155942291,"Cho thuê phòng mới 100%-Full nội thất-gần UEH, Y dược",5300000,30.0,1.0,1.0,Đường Hùng Vương,Tp Hồ Chí Minh,Quận 5,Phường 9,23578012,2023-01-17,,can_ho
156343142,Cho Thuê Căn Hộ 1 Phòng Ngủ Ban Công Ngay Lê Văn Sỹ Quận 3 Giá Rẻ,7800000,35.0,1.0,1.0,Đường Lê Văn Sỹ,Tp Hồ Chí Minh,Quận 3,Phường 12,24522217,2022-06-06,,can_ho
156343136,Khai Trương Căn Hộ Cho Thuê Có Gác Full Nội Thất Gần Ngã 4 Bảy Hiền,4500000,35.0,1.0,1.0,Đường Phạm Phú Thứ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 11,24522217,2022-03-30,,can_ho
156343088,CĂN HỘ DỊCH VỤ FULL NỘI THẤT HÌNH THẬT GIÁ THẬT NGAY BÌNH THẠNH,5700000,30.0,1.0,1.0,Đường Đinh Bộ Lĩnh,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 25,26197489,2024-02-10,,can_ho
149083354,Căn hộ 90m2 2PN The Gold View Q.4,16000000,90.0,2.0,2.0,346 ,Tp Hồ Chí Minh,Quận 4,Phường 1,10713797,2022-12-02,,can_ho
155038108,"✨Cho thuê Căn hộ Studio Bancol ngay CMT8, Lê Thị Riêng, BV Thống Nhất",6500000,35.0,1.0,1.0,Cách Mạng Tháng Tám,Tp Hồ Chí Minh,Quận Tân Bình,Phường 7,24104039,2022-11-23,,can_ho
156331535,"Studio cửa sổ lớn mặt tiền đường, gần Lotte, gần chợ, gần TĐT, Rmit",4500000,30.0,1.0,1.0,Đường Nguyễn Thị Thập,Tp Hồ Chí Minh,Quận 7,Phường Tân Phú,25742676,2023-07-15,,can_ho
152016115,Trống sẵn 3 căn NTCB Chung Cư The Sun Avenue 90-109m2 giá 16.5-17.5tr,16500000,90.0,3.0,2.0,Mai Chí Thọ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),23982635,2024-04-22,,can_ho
156199948,CHO THUÊ CHUNG CƯ MINI DẠNG DUPLEX 30M2 - STUDIO CÁCH ĐH KINH TẾ 350M,6300000,30.0,1.0,1.0,Đường Sư Vạn Hạnh,Tp Hồ Chí Minh,Quận 10,Phường 2,22989990,2023-03-20,,can_ho
156247950,Cho thuê căn hộ oficetel full nội thất đẹp vừa làm việc Vp vừa ở,11000000,36.0,1.0,1.0,5B  ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,15102100,2023-01-09,,can_ho
152676198,Cho Thuê Căn Studio 35m2 Nội Thất rất Đẹp Giá 12tr,11900000,35.0,1.0,1.0,Mai Chí Thọ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),23982635,2023-03-28,,can_ho
156247418,💎Căn hộ 2pn Full nội thất Viva riverside💎,13000000,75.0,2.0,2.0,Số 1472 ,Tp Hồ Chí Minh,Quận 6,Phường 3,4769541,2022-06-27,,can_ho
156343054,Cho thuê Diamond Brilliant 2PN full NT 18 tr bao pql,18000000,96.0,2.0,2.0,số 88 ,Tp Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,24268507,2023-09-23,,can_ho
156343029,Phòng mới keng có BANCOL nằm tại đường CMT8 giá cực ưu đãi,5000000,25.0,1.0,1.0,766 ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 5,20977178,2023-03-04,,can_ho
156343042,Căn hộ 1pn nội thất đầy đủ quận Bình Thạnh,7000000,35.0,1.0,1.0,Đường Nguyễn Văn Đậu,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 11,26811912,2023-03-07,,can_ho
156343018,cho thuê căn hộ cây mai,8000000,60.0,1.0,1.0,Đường Nguyễn Thị Nhỏ,Tp Hồ Chí Minh,Quận 11,Phường 16,25733337,2022-03-01,,can_ho
156241957,CĂN 3PN GRAND PARK VINHOMES Q9 - NỘI THẤT CAO CẤP 3PN,11500000,81.5,3.0,2.0,Nguyễn Xiển,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),26634246,2023-12-14,,can_ho
156247808,🌟CHDV FULL NỘI THẤT - BAN CÔNG LỚN - CHO NUÔI THÚ CƯNG🌟,5000000,32.0,1.0,1.0,Đường Nguyễn Thị Định,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Thạnh Mỹ Lợi (Quận 2 cũ),26673079,2023-10-23,,can_ho
155502939,"CĂN HỘ 1PN RỘNG - CHỈ TÍNH ĐIỆN  - NGAY BIG C TRƯỜNG CHINH, ETOWN",6000000,40.0,1.0,1.0,Trần Thái Tông,Tp Hồ Chí Minh,Quận Tân Bình,Phường 15,18892500,2022-04-26,,can_ho
156342858,Dublex Ban Công Siêu Xinh Lý Phục Man Quận 7,5000000,40.0,1.0,1.0,Đường Lý Phục Man,Tp Hồ Chí Minh,Quận 7,Phường Bình Thuận,13559072,2024-04-23,,can_ho
156342864,"CHO THUÊ CĂN HỘ CAO CẤP AKARI CITY 2PN CHỈ 8,5 TR/THÁNG, THOÁNG MÁT",8500000,75.0,2.0,2.0,Võ Văn Kiệt,Tp Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,4078264,2022-06-21,,can_ho
152925856,chung cư Sinh Loi  2pn 81m KDC Trung Sơn,9000000,81.0,2.0,2.0,KDC Trung Sơn - Him Lam ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,2297136,2023-04-29,,can_ho
156342831,"🌙ĐÚNG HÌNH ĐÚNG GIÁ - SÁT CẦU NG VĂN CỪ - GẦN Q1, Q5",4300000,30.0,1.0,1.0,Cầu Nguyễn Văn Cừ,Tp Hồ Chí Minh,Quận 8,Phường 2,18541812,2023-11-20,,can_ho
152925856,chung cư Sinh Loi  2pn 81m KDC Trung Sơn,9000000,81.0,2.0,2.0,KDC Trung Sơn - Him Lam ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,2297136,2023-12-26,,can_ho
156342831,"🌙ĐÚNG HÌNH ĐÚNG GIÁ - SÁT CẦU NG VĂN CỪ - GẦN Q1, Q5",4300000,30.0,1.0,1.0,Cầu Nguyễn Văn Cừ,Tp Hồ Chí Minh,Quận 8,Phường 2,18541812,2022-07-22,,can_ho
156176485,căn hộ mini,4600000,25.0,1.0,1.0,23/33a ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),2202972,2023-12-30,,can_ho
155404832,"✨CĂN BANCOL FULL NỘI THẤT CAO CẤP GẦN CĐ NOVA, ĐH CÔNG NGHIỆP GÒ VẤP",6000000,35.0,1.0,1.0,14 ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 6,12638993,2023-05-11,,can_ho
156342810,Căn hộ 54m2 1PN Chung cư 189B Cống Quỳnh Q.1,8000000,54.0,1.0,1.0,189B ,Tp Hồ Chí Minh,Quận 1,Phường Phạm Ngũ Lão,26844276,2023-01-02,,can_ho
155620783,"Căn 2PN- Full NT, ALNATA PLUS , ở liền. View đẹp -17tr /tháng",17000000,85.0,2.0,2.0,số 88 ,Tp Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,23191443,2023-07-12,,can_ho
156061014,CHDV full tiện nghi CMT8 Q3 giờ giấc tự do,5000000,27.0,1.0,1.0,Đường Cách Mạng Tháng 8,Tp Hồ Chí Minh,Quận 3,Phường 11,11342988,2022-09-20,,can_ho
155343470,Căn Hộ 35m2 Ban Công - Full NT - Gần Vòng Xoay Dân Chủ,7000000,35.0,1.0,1.0,252 ,Tp Hồ Chí Minh,Quận 10,Phường 12,19597906,2022-07-21,,can_ho
156342770,"✨Chỉ với 3tr8 sở hữu ngay căn phòng xinh Dương Quảng Hàm, Gò Vấp",3800000,20.0,1.0,1.0,416/23 ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 5,12638993,2024-04-06,,can_ho
156105762,VINHOMES LANDMARK 81 Cho thuê căn hộ 3pn full nội thất,35000000,100.0,3.0,2.0,Nguyễn Hữu Thọ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 22,25306321,2022-05-30,,can_ho
156342743,✅ Tặng ngay 1 triệu khi dọn vào ở. Căn hộ dịch vụ full nội thất,4000000,25.0,1.0,1.0,Đường An Dương Vương,Tp Hồ Chí Minh,Quận 6,Phường 10,17711839,2022-04-06,,can_ho
156342657,CĂN HỘ BAN CÔNG FULL NỘI THẤY MỚI XÂY Đ.YÊN THẾ NGAY SÂN BAY,6500000,25.0,1.0,1.0,Đường Yên Thế,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,3984215,2024-04-22,,can_ho
156342656,🧧 THUÊ NGAY CĂN HỘ FULL NỘI THẤT - VIEW BAN CÔNG -NGÔ TẤT TỐ - BT,6800000,35.0,1.0,1.0,Hẻm 62 Ngô Tất Tố,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 19,26586372,2024-03-27,,can_ho
154901283,1 Phòng Ngủ riêng cao cấp - có hồ bơi - Trần Quang Diệu Quận 3,13000000,48.0,1.0,1.0,99 ,Tp Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,13140004,2023-01-16,,can_ho
134456436,Cho thuê CH Terra Royal Q3 72m2 giá 15tr/tháng,15000000,72.0,2.0,2.0,83 ,Tp Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,17317374,2024-01-31,,can_ho
156342642,CHO THUÊ CĂN HỘ CHUNG CƯ MINI FULL NỘI THẤT BAN CÔNG NGAY CỐNG QUỲNH,7000000,35.0,1.0,1.0,Trần Hưng Đạo,Tp Hồ Chí Minh,Quận 1,Phường Bến Thành,20626751,2023-10-29,,can_ho
156342574,CHO THUÊ PHÒNG TRỌ/ NHÀ TRỌ  GIÁ RẺ QUẬN 3 THÁNG 04/2024,4800000,28.0,1.0,1.0,Đường Cách Mạng Tháng 8,Tp Hồ Chí Minh,Quận 3,Phường 11,22656387,2022-02-21,,can_ho
155720845,"Cho thuê duplex kinh doanh 177m2, 18tr/tháng, miễn phí 3 tháng đầu",18000000,177.0,3.0,3.0,Tân Túc,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,10598231,2024-03-07,,can_ho
155771721,"HĐ thuê tháng 4, 3Pn chung cư Westgate, 7tr500, bao phí quản lý",7500000,85.0,3.0,2.0,Tân Túc,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,10598231,2024-01-05,,can_ho
155721567,"Cho thuê duplex kinh doanh 185m2, 18tr/tháng, miễn 3 tháng thuê đầu",18000000,185.0,4.0,3.0,Tân Túc,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,10598231,2022-10-01,,can_ho
155720845,"Cho thuê duplex kinh doanh 177m2, 18tr/tháng, miễn phí 3 tháng đầu",18000000,177.0,3.0,3.0,Tân Túc,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,10598231,2024-03-25,,can_ho
155771721,"HĐ thuê tháng 4, 3Pn chung cư Westgate, 7tr500, bao phí quản lý",7500000,85.0,3.0,2.0,Tân Túc,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,10598231,2024-01-02,,can_ho
155721567,"Cho thuê duplex kinh doanh 185m2, 18tr/tháng, miễn 3 tháng thuê đầu",18000000,185.0,4.0,3.0,Tân Túc,Tp Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,10598231,2022-03-13,,can_ho
156342507,TRỐNG LẠI 1 CĂN SIÊU THOÁNG. NGAY NGÃ TƯ HÀNG XANH. CÓ THANG MÁY,5500000,35.0,1.0,1.0,Đường Đinh Bộ Lĩnh,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 26,25101399,2023-12-23,,can_ho
155654146,"Cho thuê phòng mới 100% gần Phạm Hùng, STU",5000000,30.0,1.0,1.0,Đường Tạ Quang Bửu,Tp Hồ Chí Minh,Quận 8,Phường 4,23578012,2023-11-18,,can_ho
156342594,STUDIO SIÊU ĐẸP CỬA SỔ LỚN THOÁNG MÁT - ĐẦY ĐỦ NỘI THẤT - KẾ QUẬN 3✨️,5500000,30.0,1.0,1.0,Đường Hoàng Sa,Tp Hồ Chí Minh,Quận Tân Bình,Phường 5,5445030,2022-01-18,,can_ho
156342582,CHO THUÊ CHDV MỚI 100% CS LỚN BAN CÔNG DBT Q8 - HF 🔥🔥,4300000,23.0,1.0,1.0,Đường Dương Bá Trạc,Tp Hồ Chí Minh,Quận 8,Phường 1,23578012,2023-02-25,,can_ho
126886827,Chung cư Masteri Thảo Điền 2PN 75m2,15000000,75.0,2.0,2.0,"Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Thảo Điền (Quận 2 cũ),10713797,2023-01-27,,can_ho
150852816,🍓CĂN HỘ Cao Cấp 40m2 _ BALCONY_MÁY GIẶT RIÊNG_GẦN CHỢ BÀ CHIỂU Q.BT🍓,7800000,40.0,1.0,1.0,Nơ Trang Long,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 14,17338090,2024-03-16,,can_ho
156308471,Cho thuê căn hộ Richmond City,12000000,52.0,1.0,1.0,Số 207 ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 26,24784390,2023-12-25,,can_ho
156342275,Căn Hộ Dịch Vụ Quận 7,9500000,45.0,1.0,1.0,Phường tân Hưng,Tp Hồ Chí Minh,Quận 7,Phường Tân Hưng,26834751,2022-09-26,,can_ho
155764323,"Căn hộ 3PN 100m2, chung cư Riva Park Quận 4, Bến Bạch Đằng, ĐH Luật TP",20000000,100.0,3.0,2.0,540 ,Tp Hồ Chí Minh,Quận 4,Phường 18,18797085,2022-06-02,,can_ho
156335149,KHAI TRƯƠNG STUDIO CỬA SỔ LỚN THOÁNG MÁT GẦN 3 TRƯỜNG ĐH ĐBP,5500000,30.0,9.0,1.0,243 ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 12,25524743,2024-01-18,,can_ho
156342470,canhodichvu,6500000,30.0,1.0,1.0,Đường Bạch Đằng,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,23765976,2022-06-11,,can_ho
156242753,Mình chính chủ cho thuê căn hộ Picity 2 pn full nội thất trong hình,9300000,57.0,2.0,1.0,Thạnh Xuân 13,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,26161260,2023-01-21,,can_ho
156342463,CĂN HỘ STUDIO 30m2 CỬA SỔ LỚN MỚI TOANH GẦN BX MIỀN ĐÔNG BÌNH THẠNH,5700000,30.0,1.0,1.0,Đường Đinh Bộ Lĩnh,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 26,25063548,2022-12-20,,can_ho
156342457,🔥CĂN HỘ STUDIO BAN CÔNG - FULL NỘI THẤT A-Z GẦN CHỢ BÀ CHIỂU,6600000,30.0,1.0,1.0,282 ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 2,12638993,2024-04-29,,can_ho
155659680,ƯU ĐÃI TRONG THÁNG 3 THUÊ NGAY CH Q7 BOULEVARD GIÁ 10TR/THÁNG 3PN,10000000,75.0,3.0,2.0,Nguyễn Lương Bằng,Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,9889628,2022-06-21,,can_ho
156342416,BAN CÔNG FULL NỘI THẤT THOÁNG-NGAY KCN VĨNH LỘC-Đ.NGUYỄN THỊ TÚ-Ở LIỀN,3300000,28.0,1.0,1.0,149 ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,20047424,2022-05-04,,can_ho
156342408,CĂN HỘ 1 PHÒNG NGỦ  FULL NỘI THẤT NGAY SÂN BAY,10500000,55.0,1.0,1.0,Đường Lam Sơn,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,23751206,2023-08-05,,can_ho
155659680,ƯU ĐÃI TRONG THÁNG 3 THUÊ NGAY CH Q7 BOULEVARD GIÁ 10TR/THÁNG 3PN,10000000,75.0,3.0,2.0,Nguyễn Lương Bằng,Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,9889628,2022-03-18,,can_ho
156342416,BAN CÔNG FULL NỘI THẤT THOÁNG-NGAY KCN VĨNH LỘC-Đ.NGUYỄN THỊ TÚ-Ở LIỀN,3300000,28.0,1.0,1.0,149 ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,20047424,2024-04-18,,can_ho
156342408,CĂN HỘ 1 PHÒNG NGỦ  FULL NỘI THẤT NGAY SÂN BAY,10500000,55.0,1.0,1.0,Đường Lam Sơn,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,23751206,2024-03-08,,can_ho
152567369,"cho thuê căn hộ Bình Thạnh giá chỉ 5,5 tr",5500000,45.0,1.0,1.0,42/18B ,Tp Hồ Chí Minh,Quận Bình Thạnh,Phường 1,5170410,2022-03-07,,can_ho
151671669,"Q7 BOULEVARD CHO THUÊ CH 2PN 57M2 SẴN MÁY LẠNH, RÈM, BẾP",7000000,57.0,2.0,1.0,Nguyễn Lương Bằng,Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,9148028,2023-03-18,,can_ho
156342364,Khai Trương Căn Hộ Ban Công Cửa Sổ Full NT Fre Xe - HF,4300000,25.0,1.0,1.0,Đường Dương Bá Trạc,Tp Hồ Chí Minh,Quận 8,Phường 1,23686327,2023-03-07,,can_ho
150249905,CHÍNH CHỦ- CH TRỆT 1PN-1WC- DT(C+R)60+30=90M2- TIEN NGHI- AN NINH- Q3,6500000,90.0,1.0,1.0,Hẻm 103 Đường Trần Quang Diệu,Tp Hồ Chí Minh,Quận 3,Phường 14,983761,2023-10-24,,can_ho
155957909,"Cho Thuê 2pn Sg Intela Như Hình Giá Rẻ ,Nhà Sạch -Mới -Ở Ngay",5500000,55.0,2.0,2.0,13E ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,23677553,2022-10-08,,can_ho
152063586,"Q7 RIVERSIDE CHO THUÊ CÁC CH MỚI 1PN,2PN,3PN CÓ NT",7000000,73.0,2.0,2.0,Số 4 ,Tp Hồ Chí Minh,Quận 7,Phường Phú Thuận,9148028,2024-04-04,,can_ho
156342348,CHO THUÊ CĂN HỘ CHUNG CƯ CỬA SỔ LỚN FULL NỘI THẤT GIÁ RẺ THÁNG 04/2024,7000000,40.0,1.0,1.0,Trường Sa,Tp Hồ Chí Minh,Quận 3,Phường 4,20626751,2023-06-21,,can_ho
145738079,Căn hộ 1PN máy giặt riêng gần ngay công viên Hoàng Văn Thụ sát sân bay,6700000,40.0,1.0,1.0,Phổ Quang,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,3984215,2024-04-29,,can_ho
156342341,CHO THUÊ CĂN HỘ DỊCH VỤ NGAY CÔNG VIÊN GIA ĐỊNH PHƯỜNG 3 QUẬN GÒ VẤP,5500000,28.0,1.0,1.0,819 Nguyễn kiệm,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 3,15994165,2022-10-01,,can_ho
139708675,THUÊ NGAY Q7 RIVERSIDE 2PN 8TR VIEW ĐẸP CÓ NTCB,8000000,68.0,2.0,2.0,Số 4 ,Tp Hồ Chí Minh,Quận 7,Phường Phú Thuận,9724860,2023-11-16,,can_ho
156247387,CHO THUÊ CĂN 2PN 2WC FULL NỘI THẤT ĐẸP GIÁ 13.5,13500000,71.0,2.0,2.0,Tạ Quang Bửu,Tp Hồ Chí Minh,Quận 8,Phường 6,23693891,2024-03-11,,can_ho
155701305,"Cho thuê căn hộ Dragon hill2 có nội thất cơ bản 9,6tr",9600000,75.0,2.0,2.0,15A2 ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,661707,2024-03-03,,can_ho
156133145,"Cho thuê căn hộ Sky Center. 75m2, 2phòng ngủ, 2wc Full nội thất đẹp.",16500000,75.0,2.0,2.0,16 ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,16513248,2024-03-29,,can_ho
155643781,"Cho thuê căn hộ Gold House Nhà Bè giá từ 8,5tr/th",8500000,96.0,2.0,2.0,Nguyễn Hữu Thọ,Tp Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,661707,2022-10-12,,can_ho
156342310,"✅Căn Hộ Studio Full NT Máy Giặt Riêng_Có Bancol_Lý Chiêu Hoàng, Quận 6",5500000,36.0,1.0,1.0,Đường Lý Chiêu Hoàng,Tp Hồ Chí Minh,Quận 6,Phường 10,23676793,2022-04-14,,can_ho
156342288,❤️Căn hộ 1PN tách bếp - full nội thất ngay ngã tư Phú Nhuận,6300000,30.0,1.0,1.0,86 ,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 5,12638993,2023-08-20,,can_ho
156156064,chung cư Hoàng tháp 3pn 11tr,11000000,100.0,3.0,2.0,Nguyễn Văn Cừ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,2297136,2022-11-06,,can_ho
156342288,❤️Căn hộ 1PN tách bếp - full nội thất ngay ngã tư Phú Nhuận,6300000,30.0,1.0,1.0,86 ,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 5,12638993,2024-01-14,,can_ho
156156064,chung cư Hoàng tháp 3pn 11tr,11000000,100.0,3.0,2.0,Nguyễn Văn Cừ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,2297136,2024-04-16,,can_ho
135295765,"2-3PN 7-8.5TR NTCB, 9-10TR FULL NT SAIGON GATEWAY CHO THUÊ CẢ NHÀ IU",10000000,90.0,3.0,2.0,Xa Lộ Hà Nội,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Phú (Quận 9 cũ),9724860,2022-05-02,,can_ho
156093749,CHDV CÓ GÁC FULL NỘI THẤT TIỆN NGHI GẦN NGÃ 5 CHUỒNG CHÓ PHƯỜNG 7,3800000,28.0,1.0,1.0,212 ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 7,26254949,2023-04-17,,can_ho
155756047,Căn hộ mini nội thất mới 100% có ban công rộng,4000000,25.0,1.0,1.0,Phạm Văn Chiêu,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 14,11342988,2023-02-26,,can_ho
156342094,CHO THUÊ GIÁ TỐT NHÀ TRỐNG 3PN - LUMIERE RIVERSIDE,33000000,87.0,3.0,3.0,Xa Lộ Hà Nội,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),26721649,2024-04-15,,can_ho
154973925,"STUDIO SANG CHẢNH NGAY AEON BÌNH TÂN , TÊN LỬA , KHU BIỆT THỰ",4700000,27.0,1.0,1.0,Đường Số 30,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,24636310,2023-05-06,,can_ho
